index,artist_name,track_name,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
86,One Direction,Moments,0.474,0.739,2,-4.937,0.0451,0.0283,0,0.299,0.253,149.894,262640,2012-05-25
87,One Direction,Another World,0.54,0.86,8,-2.424,0.0508,0.000478,0,0.214,0.585,127.927,203707,2012-05-25
88,One Direction,Na Na Na,0.582,0.903,11,-2.155,0.0576,0.0191,0,0.374,0.639,144.973,185653,2012-05-25
89,One Direction,I Should Have Kissed You,0.495,0.966,3,-2.284,0.114,0.017,0,0.606,0.553,139.931,215933,2012-05-25
90,One Direction,Story of My Life - Live X Factor Performance,0.45,0.807,3,-5.148,0.0691,0.112,0,0.927,0.185,120.952,258707,2014-03-09
91,One Direction,"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",0.507,0.889,8,-5.652,0.0468,0.00104,0,0.931,0.493,83.992,255320,2014-03-09
92,One Direction,"C'mon, C'mon - Live Version from The Motion Picture ""One Direction: This Is Us""",0.566,0.933,5,-5.709,0.127,0.000138,5.63e-06,0.853,0.491,142.902,207787,2014-03-09
93,One Direction,Best Song Ever - Jump Smokers Remix,0.729,0.72,1,-4.775,0.0598,0.000277,0,0.35,0.622,128.004,188520,2010-11-29
94,One Direction,Best Song Ever - Kat Krazy Remix,0.701,0.878,1,-2.179,0.0929,0.107,0,0.0666,0.771,127.0,186096,2010-11-29
95,One Direction,"Kiss You - Live Version From The Motion Picture ""One Direction: This Is Us""",0.519,0.934,8,-4.146,0.113,0.000825,0,0.702,0.457,90.021,267067,2013-07-22
96,One Direction,One Way or Another (Teenage Kicks),0.489,0.867,4,-3.121,0.071,0.025,0,0.586,0.409,162.131,157293,2013-02-17
97,One Direction,One Way or Another (Teenage Kicks) - Sharoque Remix,0.653,0.754,5,-6.811,0.0408,0.000413,0.00172,0.106,0.16,128.022,187307,2013-02-17
98,One Direction,One Way or Another (Teenage Kicks) - Instrumental,0.569,0.789,0,-3.902,0.046,0.00042,0.801,0.0551,0.443,162.01,157000,2013-02-17
99,One Direction,One Thing - Acoustic,0.814,0.295,2,-5.086,0.0338,0.443,0,0.113,0.575,125.025,182005,2010-11-29
100,One Direction,Steal My Girl - Acoustic Version,0.602,0.59,10,-8.046,0.0553,0.199,0,0.107,0.62,154.426,227120,2010-11-29
101,One Direction,Steal My Girl - Live Acoustic Session,0.641,0.697,10,-6.136,0.0498,0.529,0,0.157,0.883,154.489,226773,2010-11-29
102,One Direction,Night Changes - Live Acoustic Session,0.682,0.49,3,-8.158,0.0303,0.88,0,0.113,0.627,119.924,221051,2010-11-29
103,One Direction,Perfect - Stripped,0.706,0.419,2,-6.5,0.0336,0.542,0,0.0987,0.27,100.049,232027,2010-11-29
104,One Direction,What Makes You Beautiful - Live,0.585,0.958,8,-5.519,0.0987,0.0114,0,0.372,0.243,125.013,224427,2010-11-29
105,One Direction,Gotta Be You - Live,0.396,0.707,8,-6.075,0.0312,0.276,0,0.464,0.446,84.982,240453,2010-11-29
106,One Direction,More Than This - Live,0.349,0.731,0,-6.199,0.0342,0.00257,0,0.801,0.246,151.996,248427,2010-11-29
107,One Direction,Up All Night - Live,0.504,0.893,0,-5.738,0.0501,0.00102,0,0.874,0.351,138.935,228413,2010-11-29
108,One Direction,I Want - Live,0.527,0.892,9,-5.291,0.0637,0.0112,0,0.931,0.488,127.971,186413,2010-11-29
109,One Direction,You & I - Radio Edit,0.581,0.459,1,-6.198,0.0287,0.237,0,0.107,0.277,131.005,229933,2010-11-29
110,One Direction,You & I - Duet Version,0.589,0.277,1,-9.392,0.028,0.082,0.000803,0.0683,0.273,131.05,242147,2010-11-29
111,One Direction,You & I - Piano Version,0.588,0.226,1,-9.362,0.0359,0.837,0,0.11,0.187,130.704,223798,2010-11-29
112,One Direction,Home,0.42,0.867,9,-5.397,0.0853,0.0115,0,0.0851,0.63,78.814,194907,2010-11-29
113,One Direction,Gotta Be You - Steve Smart & Westfunk Remix,0.715,0.915,8,-4.565,0.052,0.018,0.00145,0.961,0.951,128.012,377373,2010-11-29
114,One Direction,Gotta Be You - Mojam Remix,0.596,0.907,8,-3.249,0.0298,0.00656,8.95e-05,0.0916,0.408,124.929,202497,2010-11-29
115,One Direction,Live While We're Young - Dave Aude Remix,0.687,0.776,2,-4.792,0.0451,0.00545,1.31e-06,0.0698,0.496,128.026,340000,2010-11-29
116,One Direction,Live While We're Young - The Jump Smokers Remix,0.696,0.792,2,-4.338,0.0915,0.0492,0,0.481,0.693,125.999,265227,2010-11-29
117,One Direction,Kiss You - Sharoque Remix,0.67,0.855,1,-4.002,0.0773,0.00422,0,0.463,0.536,127.99,260910,2010-11-29
118,One Direction,Best Song Ever - WestFunk & Steve Smart Remix,0.527,0.885,1,-3.676,0.0631,0.0345,0,0.376,0.497,125.983,190667,2010-11-29
119,One Direction,You & I - Big Payno Remix,0.494,0.787,10,-4.505,0.0826,0.0174,0,0.0864,0.265,127.929,202787,2010-11-29
