date,followers,followerdifference,retweets,retweetsdifference
2021-02-27,3413201,8342,86358,14087
2021-02-28,3420008,6807,68038,-18320
2021-03-01,3427116,7108,68529,491
2021-03-02,3446286,19170,250957,182428
2021-03-03,3455327,9041,228662,-22295
2021-03-04,3464780,9453,411458,182796
2021-03-05,3474253,9473,545777,134319
2021-03-06,3482549,8296,563350,17573
2021-03-07,3490335,7786,609058,45708
2021-03-08,3500262,9927,775735,166677
2021-03-09,3511909,11647,802522,26787
2021-03-10,3522137,10228,953620,151098
2021-03-11,3532329,10192,912382,-41238
2021-03-12,3547046,14717,1093751,181369
2021-03-13,3557895,10849,1259745,165994
2021-03-14,3566967,9072,1243827,-15918
2021-03-15,3580095,13128,1070004,-173823
2021-03-16,3590387,10292,907089,-162915
2021-03-17,3599172,8785,780121,-126968
2021-03-18,3607006,7834,629058,-151063
2021-03-19,3613819,6813,274836,-354222
2021-03-20,3620360,6541,134320,-140516
2021-03-21,3626457,6097,105794,-28526
2021-03-22,3634777,8320,106072,278
2021-03-23,3643215,8438,43794,-62278
2021-03-24,3650137,6922,30819,-12975
2021-03-25,3656367,6230,0,-30819
2021-03-26,3662229,5862,0,0
2021-03-27,3670872,8643,0,0
2021-03-28,3680252,9380,0,0
2021-03-29,3688593,8341,0,0
2021-03-30,3696533,7940,0,0
2021-03-31,3703061,6528,0,0
2021-04-01,3709276,6215,0,0
2021-04-02,3715562,6286,0,0
2021-04-03,3720985,5423,0,0
2021-04-04,3726866,5881,0,0
2021-04-05,3734070,7204,0,0
2021-04-06,3738946,4876,0,0
2021-04-07,3743416,4470,0,0
2021-04-08,3749571,6155,0,0
2021-04-09,3754074,4503,0,0
2021-04-10,3758902,4828,0,0
2021-04-11,3763462,4560,0,0
2021-04-12,3769954,6492,0,0
2021-04-13,3775031,5077,0,0
2021-04-14,3780078,5047,0,0
2021-04-15,3785361,5283,0,0
2021-04-16,3789947,4586,81054,81054
2021-04-17,3794156,4209,82598,1544
2021-04-18,3797462,3306,83221,623
2021-04-19,3801846,4384,83793,572
2021-04-20,3805962,4116,84140,347
2021-04-21,3813673,7711,84404,264
