date,listeners,rank
2019-08-05,216968,73
2019-08-06,215944,73
2019-08-07,215085,73
2019-08-08,214228,73
2019-08-09,213564,73
2019-08-10,212851,73
2019-08-11,212034,73
2019-08-13,208588,73
2019-08-14,207168,73
2019-08-15,205030,73
2019-08-16,203205,73
2019-08-17,202091,73
2019-08-18,200753,73
2019-08-19,198942,73
2019-08-20,196855,73
2019-08-21,195059,73
2019-08-22,193642,73
2019-08-23,191960,73
2019-08-24,190356,73
2019-08-25,188841,73
2019-08-26,187187,73
2019-08-27,185696,73
2019-08-28,183820,73
2019-08-29,182583,73
2019-08-30,181445,73
2019-08-31,180402,73
2019-09-01,179641,73
2019-09-02,178390,73
2019-09-03,177181,73
2019-09-04,175946,73
2019-09-05,174732,73
2019-09-06,173441,73
2019-09-07,172271,73
2019-09-08,170970,73
2019-09-09,169371,73
2019-09-10,168228,73
2019-09-11,165865,73
2019-09-12,164887,73
2019-09-13,163732,73
2019-09-14,162463,73
2019-09-15,161754,73
2019-09-16,161419,73
2019-09-17,161101,73
2019-09-18,160724,73
2019-09-19,160158,73
2019-09-21,159668,73
2019-09-22,159643,73
2019-09-23,159544,73
2019-09-25,159056,73
2019-09-26,159195,73
2019-09-27,159296,73
2019-09-29,158989,73
2019-10-01,158273,73
2019-10-02,158218,73
2019-10-03,158124,73
2019-10-04,158016,73
2019-10-05,157801,73
2019-10-06,157537,73
2019-10-07,157421,73
2019-10-08,156954,73
2019-10-09,156967,73
2019-10-10,156808,73
2019-10-11,156677,73
2019-10-14,156536,73
2019-10-15,156159,73
2019-10-16,156322,73
2019-10-17,156367,73
2019-10-19,156972,73
2019-10-20,157586,73
2019-10-21,157906,73
2019-10-22,158017,73
2019-10-23,158375,73
2019-10-24,158530,73
2019-10-25,158581,73
2019-10-26,158913,73
2019-10-27,159315,73
2019-10-28,159667,73
2019-10-29,160028,73
2019-10-30,160695,73
2019-10-31,161045,73
2019-11-01,158261,73
2019-11-02,158261,73
2019-11-03,159222,73
2019-11-04,159337,73
2019-11-05,159427,73
2019-11-06,159513,73
2019-11-07,159538,73
2019-11-08,159552,73
2019-11-09,159484,73
2019-11-10,159365,73
2019-11-11,159366,73
2019-11-12,159447,73
2019-11-13,158966,73
2019-11-14,158825,73
2019-11-15,158641,73
2019-11-17,157402,73
2019-11-18,156877,73
2019-11-19,156461,73
2019-11-20,155861,73
2019-11-21,155355,73
2019-11-22,154800,73
2019-11-23,154502,73
2019-11-24,153850,73
2019-11-25,153366,73
2019-11-26,152581,73
2019-11-27,151741,73
2019-11-28,150894,73
2019-11-29,153486,73
2019-11-30,152920,73
2019-12-01,152255,73
2019-12-03,151307,73
2019-12-04,150715,73
2019-12-07,151386,73
2019-12-08,153235,73
2019-12-09,154830,73
2019-12-10,156238,73
2019-12-12,158470,73
2019-12-13,159354,73
2019-12-15,161245,73
2019-12-16,162350,73
2019-12-17,163271,73
2019-12-18,164385,73
2019-12-19,165411,73
2019-12-20,166490,73
2019-12-21,167492,73
2019-12-22,168278,73
2019-12-27,172916,73
2019-12-28,172916,73
2019-12-29,174029,73
2019-12-30,175160,73
2019-12-31,176071,73
2020-01-01,177216,73
2020-01-02,178299,73
2020-01-03,179065,73
2020-01-04,178613,73
2020-01-05,177734,73
2020-01-06,177022,73
2020-01-07,176362,73
2020-01-08,175687,73
2020-01-09,175003,73
2020-01-10,174678,73
2020-01-11,174228,73
2020-01-12,173839,73
2020-01-13,173359,73
2020-01-14,172615,73
2020-01-15,172139,73
2020-01-16,171623,73
2020-01-17,170953,73
2020-01-19,169919,73
2020-01-20,169274,73
2020-01-21,168560,73
2020-01-22,168112,73
2020-01-23,167693,73
2020-01-24,167045,73
2020-01-25,166296,73
2020-01-26,165283,73
2020-01-27,163842,73
2020-01-28,162827,73
2020-01-30,160030,73
2020-01-31,158807,73
2020-02-01,157913,73
2020-02-03,156423,73
2020-02-04,155774,73
2020-02-05,155343,73
2020-02-06,154825,73
2020-02-07,154521,73
2020-02-08,154180,73
2020-02-09,153779,73
2020-02-10,153433,73
2020-02-12,152624,73
2020-02-13,151976,73
2020-02-14,151409,73
2020-02-15,150756,73
2020-02-16,150019,73
2020-02-17,149431,73
2020-02-18,148830,73
2020-02-19,148343,73
2020-02-20,147755,73
2020-02-21,147473,73
2020-02-22,147259,73
2020-02-23,146786,73
2020-02-24,146459,73
2020-02-25,145905,73
2020-02-26,145638,73
2020-02-27,145346,73
2020-02-28,144941,73
2020-02-29,144642,73
2020-03-01,144271,73
2020-03-02,143897,73
2020-03-03,143380,73
2020-03-04,143250,73
2020-03-05,142874,73
2020-03-06,142492,73
2020-03-08,142100,73
2020-03-09,141985,73
2020-03-10,142196,73
2020-03-11,141722,73
2020-03-13,141504,73
2020-03-14,141309,73
2020-03-15,141172,73
2020-03-16,140908,73
2020-03-17,140483,73
2020-03-18,140083,73
2020-03-19,139869,73
2020-03-20,139529,73
2020-03-21,139118,73
2020-03-22,138721,73
2020-03-23,138340,73
2020-03-24,137894,73
2020-03-25,137526,73
2020-03-26,137085,73
2020-03-27,136695,73
2020-03-28,136187,73
2020-03-29,135593,73
2020-03-30,134802,73
2020-03-31,133829,73
2020-04-01,133159,73
2020-04-23,115705,73
2020-04-25,115246,73
2020-04-26,115039,73
2020-04-27,114983,73
2020-04-28,114994,73
2020-04-29,114803,73
2020-04-30,114694,73
2020-05-01,114407,73
2020-05-02,114188,73
2020-05-03,114694,73
2020-05-04,114694,73
2020-05-05,114779,73
2020-05-06,114779,73
2020-05-07,114779,73
2020-05-08,114779,73
2020-05-09,114779,73
2020-05-10,115801,73
2020-05-11,115801,73
2020-05-12,115801,73
2020-05-13,115801,73
2020-05-14,115801,73
2020-05-15,117165,73
2020-05-16,117299,73
2020-05-17,117165,73
2020-05-18,117165,73
2020-05-19,117165,73
2020-05-20,117299,73
2020-05-21,119177,73
2020-05-22,119177,73
2020-05-23,119177,73
2020-05-24,119177,73
2020-05-25,122121,73
2020-05-26,122121,73
2020-05-27,122121,73
2020-05-28,122121,73
2020-05-29,122121,73
2020-05-30,138358,73
2020-05-31,138358,73
2020-06-01,138358,73
2020-06-02,138358,73
2020-06-03,138358,73
2020-06-04,197012,73
2020-06-05,197012,73
2020-06-06,197012,73
2020-06-07,197012,73
2020-06-08,197012,73
2020-06-09,240966,73
2020-06-10,240966,73
2020-06-11,240966,73
2020-06-12,240966,73
2020-06-14,261329,73
2020-06-15,261329,73
2020-06-16,261329,73
2020-06-17,261329,73
2020-06-18,261329,73
2020-06-19,282705,73
2020-06-20,282705,73
2020-06-21,282705,73
2020-06-22,282705,73
2020-06-23,297802,73
2020-06-24,301387,73
2020-06-25,301387,73
2020-06-26,301387,73
2020-06-27,301387,73
2020-06-28,301387,73
2020-06-29,318237,73
2020-06-30,331206,73
2020-07-01,339720,73
2020-07-02,339720,73
2020-07-03,339720,73
2020-07-04,339720,73
2020-07-05,339720,73
2020-07-06,366164,73
2020-07-07,366164,73
2020-07-08,366164,73
2020-07-09,366164,73
2020-07-10,366164,73
2020-07-11,386794,73
2020-07-12,386794,73
2020-07-13,386794,73
2020-07-14,386794,73
2020-07-15,386794,73
2020-07-16,400152,73
2020-07-17,400152,73
2020-07-18,400152,73
2020-07-19,400152,73
2020-07-20,400152,73
2020-07-21,412138,73
2020-07-22,412138,73
2020-07-23,412138,73
2020-07-24,412138,73
2020-07-25,412138,73
2020-07-26,422939,73
2020-07-27,422939,73
2020-07-28,422939,73
2020-07-29,422939,73
2020-07-30,399832,73
2020-07-31,399832,73
2020-08-01,399832,73
2020-08-02,399832,73
2020-08-03,399832,73
2020-08-04,381457,73
2020-08-05,381457,73
2020-08-06,381457,73
2020-08-07,369568,73
2020-08-08,369568,73
2020-08-09,369568,73
2020-08-10,369568,73
2020-08-11,369568,73
2020-08-12,356599,73
2020-08-13,356599,73
2020-08-14,356599,73
2020-08-15,356599,73
2020-08-16,348128,73
2020-08-17,345492,73
2020-08-18,342717,73
2020-08-19,340550,73
2020-08-20,340550,73
2020-08-21,338584,73
2020-08-22,338584,73
2020-08-23,338584,73
2020-08-24,330265,73
2020-08-25,330265,73
2020-08-26,330265,73
2020-08-27,330265,73
2020-08-28,319166,73
2020-08-29,317336,73
2020-08-30,332267,73
2020-08-31,341462,73
2020-09-01,348473,73
2020-09-02,354911,73
2020-09-03,360229,73
2020-09-04,365431,73
2020-09-05,371115,73
2020-09-06,371115,73
2020-09-07,381912,73
2020-09-08,385710,73
2020-09-09,389171,73
2020-09-10,391613,73
2020-09-11,391613,73
2020-09-12,396499,73
2020-09-13,399200,73
2020-09-14,402529,73
2020-09-15,405590,73
2020-09-16,405590,73
2020-09-17,405590,73
2020-09-18,405590,73
2020-09-19,405590,73
2020-09-20,419207,73
2020-09-21,421996,73
2020-09-22,421996,73
2020-09-23,421996,73
2020-09-24,421996,73
2020-09-25,421996,73
2020-09-26,435384,73
2020-09-27,435384,73
2020-09-28,429494,73
2020-09-29,427828,73
2020-09-30,427828,73
2020-10-01,427828,73
2020-10-02,427828,73
2020-10-03,427828,73
2020-10-04,427828,73
2020-10-05,437170,73
2020-10-06,437170,73
2020-10-07,437170,73
2020-10-08,437170,73
2020-10-09,437170,73
2020-10-10,454055,73
2020-10-11,454055,73
2020-10-12,454055,73
2020-10-13,454055,73
2020-10-14,454055,73
2020-10-15,462653,73
2020-10-16,462653,73
2020-10-17,462653,73
2020-10-18,462653,73
2020-10-19,462653,73
2020-10-20,464993,73
2020-10-21,464980,73
2020-10-22,464980,73
2020-10-23,464980,73
2020-10-24,464980,73
2020-10-25,464980,73
2020-10-26,466585,73
2020-10-27,466585,73
2020-10-28,466585,73
2020-10-29,466585,73
2020-10-30,466585,73
2020-10-31,465295,73
2020-11-01,465295,73
2020-11-02,465295,73
2020-11-03,465295,73
2020-11-04,465295,73
2020-11-05,434906,73
2020-11-06,434906,73
2020-11-07,434906,73
2020-11-08,434906,73
2020-11-09,434906,73
2020-11-10,417206,73
2020-11-11,417206,73
2020-11-12,417206,73
2020-11-13,417206,73
2020-11-14,417206,73
2020-11-15,402338,73
2020-11-16,402338,73
2020-11-17,402338,73
2020-11-18,402338,73
2020-11-19,402338,73
2020-11-20,393805,73
2020-11-21,393805,73
2020-11-22,393805,73
2020-11-23,393805,73
2020-11-24,393805,73
2020-11-25,377475,73
2020-11-26,377475,73
2020-11-27,377475,73
2020-11-28,377475,73
2020-11-29,377475,73
2020-11-30,362708,73
2020-12-01,362708,73
2020-12-02,360125,73
2020-12-03,360125,73
2020-12-04,360125,73
2020-12-05,360125,73
2020-12-06,360125,73
2020-12-07,360125,73
2020-12-08,347315,73
2020-12-09,347315,73
2020-12-10,347315,73
2020-12-11,347315,73
2020-12-12,347315,73
2020-12-13,339426,73
2020-12-14,339426,73
2020-12-15,339426,73
2020-12-16,333834,73
2020-12-17,333834,73
2020-12-18,333834,73
2020-12-19,333834,73
2020-12-20,333834,73
2020-12-21,328453,73
2020-12-23,328453,73
2020-12-24,328453,73
2020-12-25,328453,73
2020-12-26,323226,73
2020-12-28,323226,73
2020-12-29,323226,73
2020-12-30,323226,73
2020-12-31,314856,73
2021-01-01,314856,73
2021-01-02,314856,73
2021-01-03,314856,73
2021-01-04,314856,73
2021-01-06,300353,73
2021-01-07,300353,73
2021-01-08,300353,73
2021-01-09,300353,73
2021-01-10,281913,73
2021-01-11,281913,73
2021-01-12,281913,73
2021-01-13,268121,73
2021-01-14,268121,73
2021-01-15,268121,73
2021-01-16,268121,73
2021-01-17,268121,73
2021-01-18,243616,73
2021-01-19,243616,73
2021-01-20,243616,73
2021-01-21,243616,73
2021-01-22,225510,73
2021-01-23,225510,73
2021-01-24,225510,73
2021-01-25,225510,73
2021-01-26,225510,73
2021-01-27,207851,73
2021-01-28,207851,73
2021-01-29,207851,73
2021-01-30,207851,73
2021-01-31,207851,73
2021-02-01,201393,73
2021-02-02,201393,73
2021-02-03,201393,73
2021-02-04,201393,73
2021-02-05,201393,73
2021-02-06,204320,73
2021-02-07,204320,73
2021-02-08,204320,73
2021-02-09,204320,73
2021-02-10,205971,73
2021-02-11,206471,73
2021-02-12,206985,73
2021-02-13,207283,73
2021-02-14,207283,73
2021-02-15,208221,73
2021-02-16,208587,73
2021-02-18,208704,73
2021-02-19,208860,73
2021-02-20,208908,73
2021-02-21,208881,73
2021-02-22,208790,73
2021-02-23,208566,73
2021-02-24,208455,73
2021-02-25,208152,73
2021-02-26,207706,73
2021-02-27,207668,73
2021-02-28,207487,73
2021-03-01,207010,73
2021-03-02,206553,73
2021-03-03,205988,73
2021-03-04,205309,73
2021-03-05,204763,73
2021-10-07,177476,73
2021-10-19,157408,73
2021-10-21,156849,73
2021-10-22,156160,73
2021-10-23,156097,73
2021-10-24,155832,73
2021-10-25,155494,73
2021-10-26,155202,73
2021-10-27,154783,73
2021-10-28,154577,73
2021-10-29,154213,73
2021-10-30,153682,73
2021-10-31,153402,73
2021-11-01,152975,73
2021-11-02,152239,73
2021-11-03,151638,73
2021-11-04,151180,73
2021-11-05,150818,73
2021-11-06,150475,73
2021-11-07,149975,73
2021-11-08,149424,73
2021-11-09,148982,73
2021-11-10,148668,73
2021-11-11,148438,73
2021-11-12,148091,73
2021-11-13,148004,73
2021-11-14,147739,73
2021-11-15,147913,73
2021-11-16,148067,73
2021-11-18,148083,73
2021-11-19,148112,73
2021-11-22,146505,73
2021-11-25,145937,73
2021-11-28,144905,73
2021-11-30,144653,73
2021-12-01,144563,73
2021-12-02,144309,73
2021-12-03,144283,73
2021-12-04,144597,73
2021-12-05,144924,73
2021-12-07,145384,73
2021-12-08,145708,73
2021-12-09,145807,73
2021-12-10,145516,73
2021-12-12,145258,73
2021-12-13,144692,73
2021-12-15,144087,73
2021-12-17,143144,73
2021-12-18,142492,73
2021-12-19,141846,73
2021-12-20,140854,73
2021-12-21,139679,73
2021-12-22,138780,73
2021-12-23,137883,73
2021-12-24,137507,73
2021-12-25,137229,73
2021-12-26,136772,73
2021-12-27,136090,73
2021-12-28,135463,73
2021-12-29,135173,73
2021-12-30,135003,73
2021-12-31,134481,73
2022-01-01,133701,73
2022-01-02,133098,73
2022-01-03,131682,73
2022-01-04,130404,73
2022-01-05,129063,73
2022-01-06,127875,73
2022-01-07,127004,73
2022-01-08,126403,73
2022-01-10,125176,73
2022-01-11,124336,73
2022-01-13,122888,73
2022-01-14,122295,73
2022-01-15,121728,73
2022-01-16,121093,73
2022-01-17,121033,73
2022-01-18,120896,73
2022-01-19,120819,73
2022-01-20,120821,73
2022-01-21,120592,73
2022-01-22,120345,73
2022-01-23,119995,73
2022-01-24,119871,73
2022-01-25,119741,73
2022-01-26,119581,73
