date,listeners,rank
2019-08-04,212289,400
2019-08-05,212435,400
2019-08-06,212151,400
2019-08-07,212042,400
2019-08-08,211935,400
2019-08-09,212284,400
2019-08-10,212744,400
2019-08-11,213102,400
2019-08-13,213152,400
2019-08-14,212540,400
2019-08-15,211969,400
2019-08-16,210936,400
2019-08-17,209945,400
2019-08-18,209224,400
2019-08-19,208427,400
2019-08-20,208104,400
2019-08-21,207911,400
2019-08-22,207678,400
2019-08-23,207503,400
2019-08-24,207027,400
2019-08-25,205779,400
2019-08-26,204862,400
2019-08-27,204349,400
2019-08-28,203687,400
2019-08-29,203150,400
2019-08-30,202834,400
2019-08-31,202676,400
2019-09-01,201700,400
2019-09-02,200846,400
2019-09-03,200672,400
2019-09-04,200293,400
2019-09-05,199973,400
2019-09-06,199637,400
2019-09-07,198882,400
2019-09-08,197522,400
2019-09-09,196539,400
2019-09-10,196350,400
2019-09-11,196086,400
2019-09-12,195600,400
2019-09-13,195238,400
2019-09-14,194604,400
2019-09-15,193622,400
2019-09-16,193306,400
2019-09-17,192287,400
2019-09-18,190797,400
2019-09-19,189418,400
2019-09-21,186785,400
2019-09-22,186002,400
2019-09-23,185938,400
2019-09-25,185099,400
2019-09-26,184044,400
2019-09-27,182702,400
2019-09-29,179727,400
2019-10-01,178395,400
2019-10-02,177634,400
2019-10-03,177209,400
2019-10-04,176034,400
2019-10-05,175511,400
2019-10-06,175705,400
2019-10-07,176003,400
2019-10-08,176522,400
2019-10-09,176903,400
2019-10-10,177223,400
2019-10-11,177826,400
2019-10-14,179017,400
2019-10-15,179329,400
2019-10-16,179518,400
2019-10-17,179347,400
2019-10-18,179072,400
2019-10-19,178894,400
2019-10-20,178974,400
2019-10-21,178576,400
2019-10-22,178172,400
2019-10-23,177777,400
2019-10-24,177310,400
2019-10-25,176714,400
2019-10-26,176985,400
2019-10-27,176861,400
2019-10-28,176467,400
2019-10-29,175651,400
2019-10-30,174073,400
2019-10-31,171897,400
