date,listeners,rank
2019-08-04,397959,88
2019-08-05,390058,88
2019-08-06,381969,88
2019-08-07,374682,88
2019-08-08,367028,88
2019-08-09,359250,88
2019-08-10,351948,88
2019-08-11,348221,88
2019-08-13,340351,88
2019-08-14,338245,88
2019-08-15,335455,88
2019-08-16,332992,88
2019-08-17,330352,88
2019-08-18,327389,88
2019-08-19,323994,88
2019-08-20,321627,88
2019-08-21,319362,88
2019-08-22,316011,88
2019-08-23,314189,88
2019-08-24,311472,88
2019-08-25,308638,88
2019-08-26,305117,88
2019-08-27,301988,88
2019-08-28,300212,88
2019-08-29,296811,88
2019-08-30,296155,88
2019-08-31,295254,88
2019-09-01,294300,88
2019-09-02,293648,88
2019-09-03,292650,88
2019-09-04,291298,88
2019-09-05,289817,88
2019-09-06,288173,88
2019-09-07,286440,88
2019-09-08,284645,88
2019-09-09,282934,88
2019-09-10,280856,88
2019-09-11,277760,88
2019-09-12,276054,88
2019-09-13,275948,88
2019-09-14,275653,88
2019-09-15,274676,88
2019-09-16,274012,88
2019-09-17,272943,88
2019-09-18,271602,88
2019-09-19,270866,88
2019-09-21,268064,88
2019-09-22,266666,88
2019-09-23,266037,88
2019-09-25,263279,88
2019-09-26,262339,88
2019-09-27,262244,88
2019-09-29,261365,88
2019-10-01,259322,88
2019-10-02,258448,88
2019-10-03,257144,88
2019-10-04,257181,88
2019-10-05,257163,88
2019-10-06,256926,88
2019-10-07,256468,88
2019-10-08,256056,88
2019-10-09,255948,88
2019-10-10,255229,88
2019-10-11,254392,88
2019-10-14,251038,88
2019-10-15,250017,88
2019-10-16,249002,88
2019-10-17,247269,88
2019-10-18,247513,88
2019-10-19,247386,88
2019-10-20,247247,88
2019-10-21,247176,88
2019-10-22,246675,88
2019-10-23,246260,88
2019-10-24,246085,88
2019-10-25,245880,88
2019-10-26,245620,88
2019-10-27,245252,88
2019-10-28,244180,88
2019-10-29,243463,88
2019-10-30,242488,88
2019-10-31,241849,88
2019-11-01,236746,88
2019-11-02,236746,88
2019-11-03,237235,88
2019-11-04,236642,88
2019-11-05,236287,88
2019-11-06,235742,88
2019-11-07,235178,88
2019-11-08,234493,88
2019-11-09,233393,88
2019-11-10,232438,88
2019-11-11,231208,88
2019-11-12,230049,88
2019-11-13,229208,88
2019-11-14,228027,88
2019-11-15,227861,88
2019-11-17,227472,88
2019-11-18,227126,88
2019-11-19,226725,88
2019-11-20,226549,88
2019-11-21,226137,88
2019-11-22,226371,88
2019-11-23,226109,88
2019-11-24,225574,88
2019-11-25,225262,88
2019-11-26,224828,88
2019-11-27,224537,88
2019-11-28,223351,88
2019-11-29,228861,88
2019-11-30,228793,88
2019-12-01,228918,88
2019-12-03,229360,88
2019-12-04,229602,88
2019-12-07,232537,88
2019-12-08,236152,88
2019-12-09,239119,88
2019-12-10,241662,88
2019-12-12,245814,88
2019-12-13,247078,88
2019-12-15,249452,88
2019-12-16,250442,88
