date,listeners,rank
2019-08-05,265031,93
2019-08-06,265109,93
2019-08-07,264533,93
2019-08-08,263671,93
2019-08-09,263603,93
2019-08-10,263435,93
2019-08-11,263617,93
2019-08-13,263682,93
2019-08-14,264192,93
2019-08-15,264313,93
2019-08-16,263229,93
2019-08-17,262182,93
2019-08-18,261256,93
2019-08-19,259489,93
2019-08-20,257469,93
2019-08-21,256107,93
2019-08-22,254592,93
2019-08-23,253077,93
2019-08-24,251568,93
2019-08-25,250090,93
2019-08-26,248280,93
2019-08-27,246273,93
2019-08-28,244266,93
2019-08-29,242672,93
2019-08-30,241364,93
2019-08-31,239767,93
2019-09-01,237963,93
2019-09-02,235865,93
2019-09-03,233994,93
2019-09-04,232331,93
2019-09-05,231304,93
2019-09-06,229669,93
2019-09-07,227855,93
2019-09-08,225825,93
2019-09-09,223846,93
2019-09-10,222132,93
2019-09-11,219377,93
2019-09-12,217004,93
2019-09-13,216011,93
2019-09-14,215199,93
2019-09-15,214441,93
2019-09-16,214282,93
2019-09-17,213872,93
2019-09-18,213504,93
2019-09-19,213245,93
2019-09-21,212407,93
2019-09-22,211851,93
2019-09-23,211793,93
2019-09-25,211228,93
2019-09-26,210707,93
2019-09-27,209982,93
2019-09-29,209273,93
2019-10-01,208590,93
2019-10-02,208250,93
2019-10-03,207753,93
2019-10-04,207388,93
2019-10-05,207242,93
2019-10-06,206751,93
2019-10-07,206324,93
2019-10-08,205514,93
2019-10-09,204953,93
2019-10-10,204535,93
2019-10-11,204019,93
2019-10-14,202264,93
2019-10-15,201193,93
2019-10-16,200452,93
2019-10-17,199648,93
2019-10-18,199395,93
2019-10-19,199158,93
2019-10-20,199016,93
2019-10-21,198448,93
2019-10-22,197649,93
2019-10-23,196994,93
2019-10-24,196539,93
2019-10-25,195907,93
2019-10-26,195248,93
2019-10-27,194456,93
2019-10-28,193070,93
2019-10-29,191315,93
2019-10-30,190149,93
2019-10-31,189121,93
2019-11-01,184465,93
2019-11-02,184465,93
2019-11-03,181938,93
2019-11-04,180333,93
2019-11-05,178557,93
2019-11-06,177370,93
2019-11-07,176016,93
2019-11-08,175756,93
2019-11-09,175622,93
2019-11-10,175336,93
2019-11-11,175050,93
2019-11-12,174182,93
2019-11-13,173527,93
2019-11-14,173025,93
2019-11-15,171785,93
2019-11-17,169773,93
2019-11-18,168694,93
2019-11-19,167570,93
2019-11-20,166777,93
2019-11-21,165849,93
2019-11-22,165302,93
2019-11-23,164596,93
2019-11-24,163869,93
2019-11-25,163517,93
2019-11-26,162741,93
2019-11-27,162338,93
2019-11-28,161687,93
2019-11-29,165084,93
2019-11-30,164892,93
2019-12-01,164510,93
2019-12-03,163868,93
2019-12-04,163793,93
2019-12-07,163121,93
2019-12-08,164167,93
2019-12-09,164563,93
2019-12-10,165187,93
2019-12-12,166346,93
2019-12-13,166911,93
2019-12-15,167150,93
2019-12-16,167139,93
2019-12-17,166861,93
2019-12-18,167257,93
2019-12-19,167446,93
2019-12-20,168144,93
2019-12-21,168660,93
2019-12-22,169279,93
2019-12-27,177117,93
2019-12-28,177117,93
2019-12-29,178667,93
2019-12-30,180222,93
2019-12-31,181596,93
2020-01-01,183187,93
2020-01-02,184279,93
2020-01-03,184748,93
2020-01-04,184237,93
2020-01-05,183153,93
2020-01-06,181857,93
2020-01-07,180031,93
2020-01-08,178667,93
2020-01-09,177338,93
2020-01-10,176464,93
2020-01-11,175670,93
2020-01-12,174868,93
2020-01-13,174446,93
2020-01-14,173971,93
