date,listeners,rank
2019-08-04,224070,41
2019-08-05,223833,41
2019-08-06,223444,41
2019-08-07,223277,41
2019-08-08,222978,41
2019-08-09,222630,41
2019-08-10,222681,41
2019-08-11,223250,41
2019-08-13,223739,41
2019-08-14,224267,41
2019-08-15,224768,41
2019-08-16,224533,41
2019-08-17,224314,41
2019-08-18,223911,41
2019-08-19,222867,41
2019-08-20,221483,41
2019-08-21,220530,41
2019-08-22,219851,41
2019-08-23,219517,41
2019-08-24,218951,41
2019-08-25,218488,41
2019-08-26,217779,41
2019-08-27,217093,41
2019-08-28,216559,41
2019-08-29,215526,41
2019-08-30,214815,41
2019-08-31,214118,41
2019-09-01,213735,41
2019-09-02,212770,41
2019-09-03,212218,41
2019-09-04,211850,41
2019-09-05,210938,41
2019-09-06,210667,41
2019-09-07,210015,41
2019-09-08,208931,41
2019-09-09,208057,41
2019-09-10,207738,41
2019-09-11,206854,41
2019-09-12,205758,41
2019-09-13,205623,41
2019-09-14,205533,41
2019-09-15,206069,41
2019-09-16,206721,41
2019-09-17,207131,41
2019-09-18,208315,41
2019-09-19,208587,41
2019-09-21,208851,41
2019-09-22,208669,41
2019-09-23,208182,41
2019-09-25,206939,41
2019-09-26,206444,41
2019-09-27,206756,41
2019-09-29,206108,41
2019-10-01,205181,41
2019-10-02,204291,41
2019-10-03,204144,41
2019-10-04,203612,41
2019-10-05,202690,41
2019-10-06,201620,41
2019-10-07,200310,41
2019-10-08,199067,41
2019-10-09,197420,41
2019-10-10,196344,41
2019-10-11,194865,41
2019-10-14,188928,41
2019-10-15,187058,41
2019-10-16,184332,41
2019-10-17,182844,41
2019-10-18,181528,41
2019-10-19,180377,41
2019-10-20,179361,41
2019-10-21,178653,41
2019-10-22,178024,41
2019-10-23,177511,41
2019-10-24,176743,41
2019-10-25,175883,41
2019-10-26,175718,41
2019-10-27,175918,41
2019-10-28,175372,41
2019-10-29,174657,41
2019-10-30,174721,41
2019-10-31,174355,41
2019-11-01,170774,41
2019-11-02,170774,41
2019-11-03,170215,41
2019-11-04,169592,41
2019-11-05,168903,41
2019-11-06,168417,41
2019-11-07,167969,41
2019-11-08,167777,41
2019-11-09,167558,41
2019-11-10,167261,41
2019-11-11,166956,41
2019-11-12,166585,41
2019-11-13,166391,41
2019-11-14,166266,41
2019-11-15,165986,41
2019-11-17,165386,41
2019-11-18,164764,41
2019-11-19,164183,41
2019-11-20,163736,41
2019-11-21,163177,41
2019-11-22,162749,41
2019-11-23,162037,41
2019-11-24,160781,41
2019-11-25,159950,41
2019-11-26,159263,41
2019-11-27,158535,41
2019-11-28,157819,41
2019-11-29,160718,41
2019-11-30,160373,41
2019-12-01,160125,41
2019-12-03,159823,41
2019-12-04,159944,41
2019-12-07,161665,41
2019-12-08,164534,41
2019-12-09,166870,41
2019-12-10,168703,41
2019-12-12,172259,41
2019-12-13,173874,41
2019-12-15,176589,41
2019-12-16,177828,41
2019-12-17,178935,41
2019-12-18,180179,41
2019-12-19,181190,41
2019-12-20,182299,41
2019-12-21,183382,41
2019-12-22,184523,41
2019-12-27,188088,41
2019-12-28,188088,41
2019-12-29,188538,41
2019-12-30,189028,41
2019-12-31,189727,41
2020-01-01,190512,41
2020-01-02,191392,41
2020-01-03,191579,41
2020-01-04,190488,41
2020-01-05,188538,41
2020-01-06,186835,41
2020-01-07,185022,41
2020-01-08,183352,41
2020-01-09,181837,41
2020-01-10,180610,41
2020-01-11,179224,41
2020-01-12,177872,41
2020-01-13,176719,41
2020-01-14,175439,41
2020-01-15,174106,41
2020-01-16,172801,41
2020-01-17,171518,41
2020-01-19,168840,41
2020-01-20,168160,41
2020-01-21,167380,41
2020-01-22,166250,41
