date,listeners,rank
2019-08-04,622495,132
2019-08-05,620854,132
2019-08-06,614809,132
2019-08-07,611030,132
2019-08-08,607694,132
2019-08-09,604786,132
2019-08-10,601819,132
2019-08-11,600029,132
2019-08-13,594678,132
2019-08-14,593738,132
2019-08-15,592202,132
2019-08-16,588077,132
2019-08-17,583927,132
2019-08-18,579703,132
2019-08-19,573692,132
2019-08-20,568412,132
2019-08-21,563566,132
2019-08-22,558908,132
2019-08-23,555549,132
2019-08-24,551102,132
2019-08-25,546560,132
2019-08-26,541219,132
2019-08-27,536780,132
2019-08-28,531989,132
2019-08-29,527733,132
2019-08-30,523592,132
2019-08-31,518873,132
2019-09-01,514220,132
2019-09-02,508961,132
2019-09-03,508130,132
2019-09-04,504804,132
2019-09-05,501178,132
2019-09-06,497561,132
2019-09-07,493196,132
2019-09-08,487757,132
2019-09-09,483545,132
2019-09-10,479661,132
2019-09-11,472975,132
2019-09-12,466759,132
2019-09-13,465430,132
2019-09-14,463801,132
2019-09-15,461732,132
2019-09-16,460911,132
2019-09-17,458821,132
2019-09-18,457467,132
2019-09-19,455705,132
2019-09-21,452081,132
2019-09-22,450545,132
2019-09-23,449684,132
2019-09-25,447485,132
2019-09-26,445577,132
2019-09-27,443683,132
2019-09-29,441081,132
2019-10-01,437714,132
2019-10-02,436400,132
2019-10-03,434407,132
2019-10-04,432189,132
2019-10-05,430430,132
2019-10-06,428203,132
2019-10-07,425724,132
2019-10-08,423080,132
2019-10-09,421104,132
2019-10-10,418928,132
2019-10-11,416619,132
2019-10-14,412117,132
2019-10-15,410849,132
2019-10-16,409730,132
2019-10-17,408198,132
2019-10-19,405839,132
2019-10-20,404990,132
2019-10-21,403298,132
2019-10-22,401099,132
2019-10-23,399546,132
2019-10-24,398647,132
2019-10-25,397620,132
2019-10-26,396050,132
2019-10-27,394309,132
2019-10-28,391945,132
2019-10-29,388672,132
2019-10-30,386095,132
2019-10-31,384102,132
2019-11-01,375315,132
2019-11-02,375315,132
2019-11-03,372166,132
2019-11-04,370256,132
2019-11-05,368179,132
2019-11-06,366573,132
2019-11-07,365114,132
2019-11-08,363553,132
2019-11-09,362116,132
2019-11-10,360702,132
2019-11-11,359275,132
2019-11-12,357192,132
2019-11-13,355723,132
2019-11-14,354408,132
2019-11-15,353602,132
2019-11-17,351230,132
2019-11-18,350410,132
2019-11-19,349326,132
2019-11-20,348373,132
2019-11-21,347469,132
2019-11-22,346659,132
2019-11-23,345801,132
2019-11-24,344731,132
2019-11-25,344079,132
2019-11-26,343348,132
2019-11-27,342849,132
2019-11-28,342129,132
2019-11-29,348703,132
2019-11-30,347811,132
2019-12-01,346776,132
2019-12-03,344801,132
2019-12-04,344285,132
2019-12-07,344727,132
2019-12-08,348279,132
