date,listeners,rank
2019-08-05,177973,509
2019-08-06,178564,509
2019-08-07,178954,509
2019-08-08,179207,509
2019-08-09,179122,509
2019-08-10,179107,509
2019-08-11,179298,509
2019-08-13,179220,509
2019-08-14,179127,509
2019-08-15,179454,509
2019-08-16,179777,509
2019-08-17,179572,509
2019-08-18,179494,509
2019-08-19,179293,509
2019-08-20,179353,509
2019-08-21,179189,509
2019-08-22,179321,509
2019-08-23,179275,509
2019-08-24,179328,509
2019-08-25,179294,509
2019-08-26,179098,509
2019-08-27,179038,509
2019-08-28,179147,509
2019-08-29,179260,509
2019-08-30,179345,509
2019-08-31,179464,509
2019-09-01,179616,509
2019-09-02,179721,509
2019-09-03,179586,509
2019-09-04,179610,509
2019-09-05,179493,509
2019-09-06,179458,509
2019-09-07,179358,509
2019-09-08,179098,509
2019-09-09,179038,509
2019-09-10,178925,509
2019-09-11,178843,509
2019-09-12,178688,509
2019-09-13,178373,509
2019-09-14,178331,509
2019-09-15,178326,509
2019-09-16,178471,509
2019-09-17,178495,509
2019-09-18,178415,509
2019-09-19,178332,509
2019-09-21,176477,509
2019-09-22,175628,509
2019-09-23,175160,509
2019-09-25,174779,509
2019-09-26,174458,509
2019-09-27,174521,509
2019-09-29,173944,509
2019-10-01,173080,509
2019-10-02,172758,509
2019-10-03,172192,509
2019-10-04,171791,509
2019-10-05,171600,509
2019-10-06,171407,509
2019-10-07,171099,509
2019-10-08,170731,509
2019-10-09,170580,509
2019-10-10,170160,509
2019-10-11,169948,509
2019-10-14,169088,509
2019-10-15,168779,509
2019-10-16,168610,509
2019-10-17,168220,509
2019-10-19,169503,509
2019-10-20,169958,509
2019-10-21,168970,509
2019-10-22,167272,509
2019-10-23,165378,509
2019-10-24,163907,509
2019-10-25,162244,509
2019-10-26,160909,509
2019-10-27,159651,509
2019-10-28,158420,509
2019-10-29,157540,509
2019-10-30,156505,509
2019-10-31,155795,509
2019-11-01,152021,509
2019-11-02,152021,509
2019-11-03,151050,509
2019-11-04,151140,509
2019-11-05,151172,509
2019-11-06,150944,509
2019-11-07,150735,509
2019-11-08,150319,509
2019-11-09,149761,509
2019-11-10,149078,509
2019-11-11,149096,509
2019-11-12,148999,509
2019-11-13,148563,509
2019-11-14,147224,509
2019-11-15,146462,509
2019-11-17,144714,509
2019-11-18,145637,509
2019-11-19,147461,509
2019-11-20,149392,509
2019-11-21,151061,509
2019-11-22,152474,509
2019-11-23,153444,509
2019-11-24,154534,509
2019-11-25,155459,509
2019-11-26,155963,509
2019-11-27,156723,509
2019-11-28,157355,509
2019-11-29,160897,509
2019-11-30,161291,509
2019-12-01,161936,509
2019-12-03,162356,509
2019-12-04,162536,509
2019-12-07,165201,509
2019-12-08,167251,509
2019-12-09,168472,509
2019-12-10,169394,509
2019-12-12,172125,509
2019-12-13,172956,509
2019-12-15,174124,509
2019-12-16,174486,509
2019-12-17,174675,509
2019-12-18,174968,509
2019-12-19,175178,509
2019-12-20,175398,509
2019-12-21,175579,509
2019-12-22,175571,509
2019-12-27,178488,509
2019-12-28,178488,509
2019-12-29,178738,509
2019-12-30,179085,509
2019-12-31,179573,509
2020-01-01,180154,509
2020-01-02,180832,509
2020-01-03,180504,509
2020-01-04,179535,509
2020-01-05,178616,509
2020-01-06,178087,509
2020-01-07,177680,509
2020-01-08,177119,509
2020-01-09,177004,509
2020-01-10,176831,509
2020-01-11,176745,509
2020-01-12,176868,509
2020-01-13,177187,509
2020-01-14,177370,509
2020-01-15,177576,509
2020-01-16,177737,509
2020-01-17,177905,509
2020-01-19,178434,509
2020-01-20,178781,509
2020-01-21,178829,509
2020-01-22,178418,509
2020-01-23,178267,509
2020-01-24,178694,509
2020-01-25,178529,509
2020-01-26,178593,509
2020-01-27,178287,509
2020-01-28,178050,509
2020-01-30,177118,509
2020-01-31,177637,509
2020-02-01,177991,509
2020-02-03,179053,509
2020-02-04,179392,509
2020-02-05,180018,509
2020-02-06,180264,509
2020-02-07,180457,509
2020-02-08,180745,509
2020-02-09,180644,509
2020-02-10,180741,509
2020-02-12,180859,509
2020-02-13,180900,509
2020-02-14,181099,509
2020-02-15,181389,509
2020-02-16,181548,509
2020-02-17,181548,509
2020-02-18,181516,509
2020-02-19,181542,509
2020-02-20,181769,509
2020-02-21,182045,509
2020-02-22,182074,509
2020-02-23,182150,509
2020-02-24,182368,509
2020-02-25,182430,509
2020-02-26,181967,509
2020-02-27,181437,509
2020-02-28,181166,509
2020-02-29,180595,509
2020-03-01,179699,509
2020-03-02,178803,509
2020-03-03,178184,509
2020-03-04,177310,509
2020-03-05,176885,509
2020-03-06,176307,509
2020-03-08,175628,509
2020-03-09,175606,509
2020-03-10,175233,509
2020-03-11,174718,509
2020-03-13,173996,509
2020-03-14,173445,509
2020-03-15,172941,509
2020-03-16,172361,509
2020-03-17,171664,509
2020-03-18,170581,509
2020-03-19,169235,509
2020-03-20,167725,509
2020-03-21,166549,509
2020-03-22,164843,509
2020-03-23,163216,509
2020-03-24,161694,509
2020-03-25,160622,509
2020-03-26,159798,509
2020-03-27,158447,509
2020-03-28,157453,509
2020-03-29,156167,509
2020-03-30,155047,509
2020-03-31,153916,509
2020-04-01,152638,509
2020-04-23,119420,509
2020-04-25,117904,509
2020-04-26,117441,509
2020-04-27,117021,509
2020-04-28,116419,509
2020-04-29,115752,509
2020-04-30,115091,509
2020-05-01,114574,509
2020-05-02,113978,509
2020-05-03,115091,509
2020-05-04,115091,509
2020-05-05,112845,509
2020-05-06,112845,509
2020-05-07,112845,509
2020-05-08,112845,509
2020-05-09,112845,509
2020-05-10,111852,509
2020-05-11,111852,509
2020-05-12,111852,509
2020-05-13,111852,509
2020-05-14,111852,509
2020-05-15,110173,509
2020-05-16,109813,509
