date,followers,difference
2017-03-31,3205278,10667
2017-04-01,3216676,11398
2017-04-02,3229646,12970
2017-04-03,3243733,14087
2017-04-04,3255740,12007
2017-04-05,3266764,11024
2017-04-06,3277513,10749
2017-04-07,3287703,10190
2017-04-08,3298527,10824
2017-04-09,3310138,11611
2017-04-10,3321180,11042
2017-04-11,3331672,10492
2017-04-12,3345522,13850
2017-04-13,3356529,11007
2017-04-14,3367239,10710
2017-04-15,3378274,11035
2017-04-16,3393417,15143
2017-04-17,3407585,14168
2017-04-18,3420158,12573
2017-04-19,3431416,11258
2017-04-20,3441772,10356
2017-04-21,3451994,10222
2017-04-22,3463953,11959
2017-04-23,3478213,14260
2017-04-24,3491675,13462
2017-04-25,3506663,14988
2017-04-26,3520474,13811
2017-04-27,3531520,11046
2017-04-28,3542654,11134
2017-04-29,3559825,17171
2017-04-30,3577769,17944
2017-05-01,3593677,15908
2017-05-02,3606862,13185
2017-05-03,3617317,10455
2017-05-04,3629373,12056
2017-05-05,3640705,11332
2017-05-06,3652376,11671
2017-05-07,3666030,13654
2017-05-08,3677470,11440
2017-05-09,3688740,11270
2017-05-10,3700549,11809
2017-05-11,3711969,11420
2017-05-12,3722501,10532
2017-05-13,3733378,10877
2017-05-14,3745987,12609
2017-05-15,3758198,12211
2017-05-16,3768975,10777
2017-05-17,3779581,10606
2017-05-18,3790549,10968
2017-05-19,3800830,10281
2017-05-20,3809565,8735
2017-05-21,3822270,12705
2017-05-22,3835376,13106
2017-05-23,3848567,13191
2017-05-24,3860607,12040
2017-05-25,3871774,11167
2017-05-26,3882672,10898
2017-05-27,3894158,11486
2017-05-28,3906331,12173
2017-05-29,3919651,13320
2017-05-30,3931404,11753
2017-05-31,3942680,11276
2017-06-01,3953589,10909
2017-06-02,3964043,10454
2017-06-03,3974329,10286
2017-06-04,3986387,12058
2017-06-05,3999551,13164
2017-06-06,4011846,12295
2017-06-07,4023305,11459
2017-06-08,4034691,11386
2017-06-09,4045251,10560
2017-06-10,4057094,11843
2017-06-11,4070118,13024
2017-06-12,4084448,14330
2017-06-13,4096315,11867
2017-06-14,4110507,14192
2017-06-15,4122323,11816
2017-06-16,4133365,11042
2017-06-17,4147585,14220
2017-06-18,4162390,14805
2017-06-19,4179058,16668
2017-06-20,4191867,12809
2017-06-21,4208132,16265
2017-06-22,4222944,14812
2017-06-23,4243783,20839
2017-06-24,4261494,17711
2017-06-25,4282132,20638
2017-06-26,4300949,18817
2017-06-27,4326581,25632
2017-06-28,4344691,18110
2017-06-29,4359145,14454
2017-06-30,4376075,16930
2017-07-01,4394728,18653
2017-07-02,4414937,20209
2017-07-03,4436124,21187
2017-07-04,4456281,20157
2017-07-05,4473241,16960
2017-07-06,4491927,18686
2017-07-07,4512215,20288
2017-07-08,4529509,17294
2017-07-09,4549940,20431
2017-07-10,4567817,17877
2017-07-11,4585146,17329
2017-07-12,4602542,17396
2017-07-13,4618939,16397
2017-07-14,4634695,15756
2017-07-15,4649890,15195
2017-07-16,4669600,19710
2017-07-17,4687253,17653
2017-07-18,4703437,16184
2017-07-19,4717673,14236
2017-07-20,4732635,14962
2017-07-21,4752071,19436
2017-07-22,4769528,17457
2017-07-23,4787037,17509
2017-07-24,4804277,17240
2017-07-25,4819582,15305
2017-07-26,4834610,15028
2017-07-27,4849704,15094
2017-07-28,4865070,15366
2017-07-29,4880671,15601
2017-07-30,4897179,16508
2017-07-31,4914092,16913
2017-08-01,4928629,14537
2017-08-02,4943943,15314
2017-08-03,4958638,14695
2017-08-04,4974750,16112
2017-08-05,4988584,13834
2017-08-06,5007032,18448
2017-08-07,5029852,22820
2017-08-08,5048356,18504
2017-08-09,5067951,19595
2017-08-10,5084518,16567
2017-08-11,5100408,15890
2017-08-12,5117838,17430
2017-08-13,5136002,18164
2017-08-14,5154646,18644
2017-08-15,5171310,16664
2017-08-16,5189736,18426
2017-08-17,5202699,12963
2017-08-18,5217660,14961
2017-08-19,5233877,16217
2017-08-20,5252884,19007
2017-08-21,5271004,18120
2017-08-22,5287257,16253
2017-08-23,5300088,12831
2017-08-24,5313171,13083
2017-08-25,5325262,12091
2017-08-26,5338308,13046
2017-08-27,5352406,14098
2017-08-28,5368689,16283
2017-08-29,5382867,14178
2017-08-30,5396295,13428
2017-08-31,5409360,13065
2017-09-01,5422678,13318
2017-09-02,5438204,15526
2017-09-03,5454456,16252
2017-09-04,5470122,15666
2017-09-05,5484224,14102
2017-09-06,5496504,12280
2017-09-07,5509660,13156
2017-09-08,5522028,12368
2017-09-09,5534336,12308
2017-09-10,5549834,15498
2017-09-11,5567299,17465
2017-09-12,5574782,7483
2017-09-13,5584331,9549
2017-09-14,5593563,9232
2017-09-15,5602180,8617
2017-09-16,5611449,9269
2017-09-17,5623995,12546
2017-09-18,5635027,11032
2017-09-19,5643917,8890
2017-09-20,5652843,8926
2017-09-21,5662472,9629
2017-09-22,5672329,9857
2017-09-23,5682197,9868
2017-09-24,5697404,15207
2017-09-25,5711506,14102
2017-09-26,5721194,9688
2017-09-27,5731714,10520
2017-09-28,5742847,11133
2017-09-29,5755092,12245
