name,followers,percent,country
Seoul,1299052,2.90,South Korea
Jakarta,1075990,2.40,Indonesia
Bangkok,879157,1.96,Thailand
São Paulo,511765,1.14,Brazil
Bandung,485491,1.08,Indonesia
Yogyakarta,380528,0.85,Indonesia
Tokyo,354299,0.79,Japan
Singapore,341162,0.76,Singapore
Surabaya,341162,0.76,Indonesia
Los Angeles,288658,0.64,United States
