date,likes,difference
2017-06-20,914399,3271
2017-06-21,920279,5880
2017-06-22,923779,3500
2017-06-23,934775,10996
2017-06-24,942337,7562
2017-06-25,952911,10574
2017-06-26,958624,5713
2017-06-27,963542,4918
2017-06-28,967270,3728
2017-06-29,970625,3355
2017-06-30,973741,3116
2017-07-01,976667,2926
2017-07-02,980060,3393
2017-07-03,984211,4151
2017-07-04,986776,2565
2017-07-05,988803,2027
2017-07-06,991322,2519
2017-07-07,993960,2638
2017-07-08,996670,2710
2017-07-09,1000659,3989
2017-07-10,1004820,4161
2017-07-11,1007602,2782
2017-07-12,1010230,2628
2017-07-13,1012707,2477
2017-07-14,1015262,2555
2017-07-15,1017891,2629
2017-07-16,1021036,3145
2017-07-17,1024072,3036
2017-07-18,1026963,2891
2017-07-19,1029938,2975
2017-07-20,1032102,2164
2017-07-21,1034374,2272
2017-07-22,1037852,3478
2017-07-23,1041072,3220
2017-07-24,1044036,2964
2017-07-25,1046420,2384
2017-07-26,1049002,2582
2017-07-27,1051325,2323
2017-07-28,1054749,3424
2017-07-29,1056848,2099
2017-07-30,1059565,2717
2017-07-31,1062472,2907
2017-08-01,1064553,2081
2017-08-02,1066350,1797
2017-08-03,1068353,2003
2017-08-04,1070439,2086
2017-08-05,1072762,2323
2017-08-08,1082646,9884
2017-08-09,1087526,4880
2017-08-10,1090179,2653
2017-08-11,1092521,2342
2017-08-12,1094959,2438
2017-08-13,1098073,3114
2017-08-14,1101365,3292
2017-08-15,1104929,3564
2017-08-16,1106741,1812
2017-08-17,1108746,2005
2017-08-18,1111053,2307
2017-08-19,1113082,2029
2017-08-20,1116409,3327
2017-08-21,1118423,2014
2017-08-22,1120718,2295
2017-08-23,1122708,1990
2017-08-24,1124607,1899
2017-08-25,1126596,1989
2017-08-26,1128779,2183
2017-08-27,1131455,2676
2017-08-28,1133741,2286
2017-08-29,1135830,2089
2017-08-30,1137603,1773
2017-08-31,1139121,1518
2017-09-01,1141198,2077
2017-09-02,1143367,2169
2017-09-03,1145440,2073
2017-09-04,1147553,2113
2017-09-05,1148863,1310
2017-09-06,1150256,1393
2017-09-07,1151668,1412
2017-09-08,1153195,1527
2017-09-09,1154881,1686
2017-09-10,1157263,2382
2017-09-11,1159205,1942
2017-09-12,1160729,1524
2017-09-13,1162495,1766
2017-09-14,1163705,1210
2017-09-15,1165067,1362
2017-09-16,1166641,1574
