Date,Followers,Follower Difference
2017-08-13,543808,4948
2017-08-14,546375,2567
2017-08-15,548568,2193
2017-08-16,551206,2638
2017-08-17,553927,2721
2017-08-18,555777,1850
2017-08-19,558689,2912
2017-08-20,562150,3461
2017-08-21,565643,3493
2017-08-22,569207,3564
2017-08-23,576283,7076
2017-08-24,581871,5588
2017-08-27,596983,15112
2017-08-28,601744,4761
2017-08-29,605409,3665
2017-08-31,612701,7292
2017-09-01,616339,3638
2017-09-02,620047,3708
2017-09-03,623522,3475
2017-09-04,626247,2725
2017-09-05,628840,2593
2017-09-06,631206,2366
2017-09-07,634556,3350
2017-09-08,638414,3858
2017-09-09,642884,4470
2017-09-10,648159,5275
2017-09-12,656473,8314
2017-09-13,660114,3641
2017-09-14,663960,3846
2017-09-15,667640,3680
2017-09-16,672011,4371
2017-09-17,677935,5924
2017-09-18,683921,5986
2017-09-19,701399,17478
2017-09-20,709125,7726
2017-09-21,716107,6982
2017-09-22,722146,6039
2017-09-23,727221,5075
2017-09-24,732782,5561
2017-09-25,737637,4855
2017-09-26,741668,4031
2017-09-27,745552,3884
2017-09-28,749330,3778
2017-09-29,753441,4111
2017-09-30,757902,4461
2017-10-01,762764,4862
2017-10-02,767293,4529
2017-10-03,770853,3560
2017-10-04,774508,3655
2017-10-05,778267,3759
2017-10-06,782158,3891
2017-10-07,786504,4346
2017-10-08,791541,5037
2017-10-09,796337,4796
2017-10-10,800398,4061
2017-10-11,804337,3939
2017-10-12,808442,4105
2017-10-13,812178,3736
2017-10-14,816275,4097
2017-10-15,820936,4661
2017-10-16,825472,4536
2017-10-17,829389,3917
2017-10-18,833006,3617
2017-10-19,836500,3494
2017-10-20,840046,3546
2017-10-21,844119,4073
2017-10-22,848892,4773
2017-10-23,853397,4505
2017-10-24,857178,3781
2017-10-25,860732,3554
2017-10-26,864644,3912
2017-10-27,868478,3834
2017-10-28,872518,4040
2017-10-29,877006,4488
2017-10-30,881317,4311
2017-10-31,885361,4044
2017-11-01,888758,3397
2017-11-02,892446,3688
2017-11-03,896334,3888
2017-11-05,905525,9191
2017-11-06,910109,4584
2017-11-08,917803,7694
2017-11-09,921588,3785
2017-11-10,925532,3944
2017-11-11,930023,4491
2017-11-12,935086,5063
2017-11-13,939948,4862
2017-11-14,943930,3982
2017-11-15,947759,3829
2017-11-16,951709,3950
2017-11-17,955455,3746
2017-11-18,960038,4583
2017-11-19,965385,5347
2017-11-20,970068,4683
2017-11-21,974336,4268
2017-11-22,979030,4694
2017-11-23,983814,4784
2017-11-24,988614,4800
2017-11-25,996496,7882
2017-11-26,1003383,6887
2017-11-27,1009082,5699
2017-11-28,1013355,4273
2017-11-29,1017326,3971
2017-11-30,1021458,4132
2017-12-01,1026081,4623
2017-12-02,1030846,4765
2017-12-03,1036204,5358
2017-12-04,1041200,4996
2017-12-05,1045359,4159
2017-12-06,1050551,5192
2017-12-07,1056329,5778
2017-12-08,1061718,5389
2017-12-09,1067035,5317
2017-12-10,1072848,5813
2017-12-11,1078255,5407
2017-12-12,1082757,4502
2017-12-13,1087314,4557
2017-12-17,1109714,22400
2017-12-18,1115149,5435
2017-12-19,1120059,4910
2017-12-20,1124695,4636
2017-12-21,1129605,4910
2017-12-22,1134623,5018
2017-12-23,1140179,5556
2017-12-24,1145892,5713
2017-12-26,1158453,12561
2017-12-27,1166088,7635
2017-12-28,1172592,6504
2017-12-29,1178302,5710
2017-12-30,1183861,5559
2017-12-31,1189362,5501
2018-01-01,1194798,5436
2018-01-04,1210602,15804
2018-01-05,1215682,5080
2018-01-06,1220996,5314
2018-01-07,1227139,6143
2018-01-09,1237810,10671
2018-01-11,1247504,9694
2018-01-12,1252466,4962
2018-01-13,1258038,5572
2018-01-14,1264236,6198
2018-01-15,1270059,5823
2018-01-16,1275070,5011
2018-01-17,1279839,4769
2018-01-18,1284532,4693
2018-01-19,1289608,5076
2018-01-20,1295192,5584
2018-01-21,1301607,6415
2018-01-22,1307467,5860
2018-01-23,1312738,5271
2018-01-24,1318664,5926
2018-01-25,1324206,5542
2018-01-26,1329810,5604
2018-01-27,1335717,5907
2018-01-28,1342402,6685
2018-01-29,1348456,6054
2018-01-31,1359158,10702
2018-02-01,1365006,5848
2018-02-02,1370752,5746
2018-02-03,1377102,6350
2018-02-04,1384070,6968
2018-02-05,1390433,6363
2018-02-06,1395735,5302
2018-02-07,1400942,5207
2018-02-08,1406311,5369
2018-02-09,1411991,5680
2018-02-10,1418284,6293
2018-02-11,1425203,6919
2018-02-12,1431754,6551
2018-02-13,1437296,5542
2018-02-14,1442437,5141
2018-02-15,1447673,5236
2018-02-16,1453429,5756
2018-02-17,1459604,6175
2018-02-18,1466442,6838
2018-02-19,1472841,6399
2018-02-20,1478198,5357
2018-02-21,1483089,4891
2018-02-22,1488945,5856
2018-02-23,1494650,5705
2018-02-24,1500870,6220
2018-02-25,1507800,6930
2018-02-26,1514225,6425
2018-02-27,1519478,5253
2018-02-28,1524628,5150
2018-03-01,1529933,5305
2018-03-02,1538507,8574
2018-03-03,1546223,7716
2018-03-04,1554052,7829
2018-03-05,1560691,6639
2018-03-06,1566501,5810
2018-03-07,1572433,5932
2018-03-08,1578585,6152
2018-03-09,1585247,6662
2018-03-10,1592060,6813
2018-03-11,1599899,7839
2018-03-12,1606900,7001
2018-03-13,1615664,8764
2018-03-16,1649127,33463
2018-03-17,1657741,8614
2018-03-18,1667214,9473
2018-03-19,1675483,8269
2018-03-20,1681910,6427
2018-03-21,1688342,6432
2018-03-22,1695131,6789
2018-03-23,1701931,6800
2018-03-24,1709050,7119
2018-03-25,1717211,8161
2018-03-26,1724784,7573
2018-03-27,1731354,6570
2018-04-04,1807852,76498
2018-04-05,1815909,8057
2018-04-06,1820216,4307
2018-04-07,1828990,8774
2018-04-08,1836911,7921
2018-04-09,1844075,7164
2018-04-10,1850930,6855
2018-04-11,1858101,7171
2018-04-12,1865046,6945
2018-04-13,1871918,6872
2018-04-14,1879034,7116
2018-04-15,1886884,7850
2018-04-16,1893659,6775
2018-04-17,1900394,6735
2018-04-18,1906927,6533
2018-04-19,1913333,6406
2018-04-20,1919764,6431
2018-04-21,1927209,7445
2018-04-22,1935078,7869
2018-04-23,1942022,6944
2018-04-24,1948302,6280
2018-04-25,1954579,6277
2018-04-26,1960701,6122
2018-04-27,1967018,6317
2018-04-28,1974175,7157
2018-04-29,1980950,6775
2018-04-30,1987273,6323
2018-05-02,1999732,12459
2018-05-03,2004715,4983
2018-05-04,2009853,5138
2018-05-05,2015933,6080
2018-05-06,2022387,6454
2018-05-07,2028031,5644
2018-05-08,2033766,5735
2018-05-09,2039305,5539
2018-05-10,2043334,4029
2018-05-11,2048628,5294
2018-05-12,2054929,6301
2018-05-13,2062108,7179
2018-05-14,2066985,4877
2018-05-15,2073839,6854
2018-05-17,2087143,13304
2018-05-18,2109926,22783
2018-05-19,2128352,18426
2018-05-20,2140827,12475
2018-05-21,2149400,8573
2018-05-23,2164061,14661
2018-05-24,2171260,7199
2018-05-25,2180563,9303
2018-05-26,2188194,7631
2018-05-27,2197709,9515
2018-05-28,2204847,7138
2018-05-29,2212106,7259
2018-05-30,2220988,8882
2018-05-31,2227373,6385
2018-06-01,2233672,6299
2018-06-02,2242339,8667
2018-06-03,2251942,9603
2018-06-04,2262419,10477
2018-06-06,2281282,18863
2018-06-07,2286673,5391
2018-06-08,2295285,8612
2018-06-09,2305891,10606
2018-06-10,2314685,8794
2018-06-11,2326347,11662
2018-06-12,2332144,5797
2018-06-13,2341997,9853
2018-06-15,2355153,13156
2018-06-16,2401591,46438
2018-06-17,2419784,18193
2018-06-18,2434207,14423
2018-06-20,2454039,19832
2018-06-21,2474685,20646
2018-06-23,2489936,15251
2018-06-25,2514891,24955
2018-06-26,2532040,17149
2018-06-27,2542477,10437
2018-06-29,2585692,43215
2018-07-01,2612154,26462
2018-07-02,2609499,-2655
2018-07-03,2630144,20645
2018-07-04,2622226,-7918
2018-07-05,2651602,29376
2018-07-06,2661941,10339
2018-07-07,2676133,14192
2018-07-08,2689706,13573
2018-07-09,2692593,2887
2018-07-10,2702008,9415
2018-07-12,2728476,26468
2018-07-19,2782359,53883
2018-07-20,2789799,7440
2018-07-21,2805565,15766
2018-07-24,2836654,31089
2018-07-25,2843740,7086
2018-07-27,2858492,14752
2018-07-28,2874569,16077
2018-07-29,2886902,12333
2018-07-30,2896168,9266
2018-07-31,2905405,9237
2018-08-01,2914775,9370
2018-08-02,2923908,9133
2018-08-03,2934781,10873
2018-08-04,2946454,11673
2018-08-05,2958294,11840
2018-08-06,2967941,9647
2018-08-07,2977341,9400
2018-08-08,2986395,9054
2018-08-09,2995821,9426
2018-08-10,3005307,9486
2018-08-11,3016644,11337
2018-08-12,3028768,12124
2018-08-13,3038590,9822
2018-08-16,3066257,27667
2018-08-17,3077172,10915
2018-08-20,3108353,31181
2018-08-24,3163377,55024
2018-08-29,3215354,51977
2018-08-30,3221757,6403
2018-09-06,3283587,61830
2018-09-08,3303652,20065
2018-09-09,3320377,16725
2018-09-10,3329174,8797
2018-09-11,3338433,9259
2018-09-12,3347023,8590
2018-09-13,3352944,5921
2018-09-14,3362571,9627
2018-09-15,3373086,10515
2018-09-16,3384020,10934
2018-09-17,3393040,9020
2018-09-18,3399427,6387
2018-09-19,3409170,9743
2018-09-20,3416943,7773
2018-09-21,3425601,8658
2018-09-22,3435475,9874
2018-09-23,3446500,11025
2018-09-24,3455301,8801
2018-09-25,3462522,7221
2018-09-26,3469881,7359
2018-09-27,3478250,8369
2018-09-28,3487265,9015
2018-09-29,3498335,11070
2018-09-30,3508634,10299
2018-10-01,3516839,8205
2018-10-02,3525506,8667
2018-10-03,3534024,8518
2018-10-04,3542584,8560
2018-10-06,3563441,20857
2018-10-07,3573949,10508
2018-10-08,3583490,9541
2018-10-09,3591950,8460
2018-10-10,3597052,5102
2018-10-11,3603938,6886
2018-10-12,3613933,9995
2018-10-13,3625770,11837
2018-10-14,3637528,11758
2018-10-15,3647826,10298
2018-10-16,3657103,9277
2018-10-17,3667262,10159
2018-10-18,3674970,7708
2018-10-19,3691705,16735
2018-10-20,3705748,14043
2018-10-21,3719701,13953
2018-10-22,3731105,11404
2018-10-23,3742360,11255
2018-10-24,3752508,10148
2018-10-25,3762420,9912
2018-10-26,3774347,11927
2018-10-27,3786799,12452
2018-10-28,3799201,12402
2018-10-29,3810380,11179
2018-10-30,3820131,9751
2018-10-31,3829804,9673
2018-11-01,3839045,9241
2018-11-02,3850029,10984
2018-11-04,3888464,38435
2018-11-07,3913175,24711
2018-11-08,3924497,11322
2018-11-09,3936421,11924
2018-11-10,3949956,13535
2018-11-11,3964956,15000
2018-11-12,3978500,13544
2018-11-13,3992627,14127
2018-11-14,4009587,16960
2018-11-15,4026168,16581
2018-11-16,4041377,15209
2018-11-17,4058059,16682
2018-11-18,4076544,18485
2018-11-19,4094166,17622
2018-11-20,4110116,15950
2018-11-21,4126776,16660
2018-11-22,4141444,14668
2018-11-23,4156494,15050
2018-11-24,4173362,16868
2018-11-25,4192271,18909
2018-11-26,4209478,17207
2018-11-27,4223818,14340
2018-11-28,4237570,13752
2018-11-29,4250100,12530
2018-11-30,4263346,13246
2018-12-01,4278197,14851
2018-12-02,4293952,15755
2018-12-03,4308653,14701
2018-12-04,4321505,12852
2018-12-05,4334230,12725
2018-12-06,4348129,13899
2018-12-07,4361635,13506
2018-12-08,4376795,15160
2018-12-09,4393339,16544
2018-12-10,4408342,15003
2018-12-11,4421772,13430
2018-12-12,4434623,12851
2018-12-13,4447141,12518
2018-12-14,4461478,14337
2018-12-15,4476001,14523
2018-12-16,4491078,15077
2018-12-17,4505398,14320
2018-12-18,4518730,13332
2018-12-19,4532320,13590
2018-12-20,4546595,14275
2018-12-21,4560512,13917
2018-12-22,4574769,14257
2018-12-23,4589838,15069
2018-12-24,4604214,14376
2018-12-25,4618068,13854
2018-12-26,4632574,14506
2018-12-27,4647571,14997
2018-12-28,4661959,14388
2018-12-29,4676073,14114
2018-12-30,4689686,13613
2018-12-31,4703871,14185
2019-01-01,4716690,12819
2019-01-02,4728503,11813
2019-01-03,4744017,15514
2019-01-04,4754786,10769
2019-01-05,4768569,13783
2019-01-06,4783360,14791
2019-01-07,4796959,13599
2019-01-08,4809183,12224
2019-01-09,4822075,12892
2019-01-10,4833245,11170
2019-01-11,4846320,13075
2019-01-12,4860349,14029
2019-01-13,4876613,16264
2019-01-14,4890800,14187
2019-01-15,4902788,11988
2019-01-16,4915947,13159
2019-01-17,4927042,11095
2019-01-18,4939755,12713
2019-01-19,4953853,14098
2019-01-20,4970577,16724
2019-01-21,4985828,15251
2019-01-22,4998765,12937
2019-01-23,5011147,12382
2019-01-24,5024139,12992
2019-01-25,5034902,10763
2019-01-26,5050340,15438
2019-01-27,5063597,13257
2019-01-28,5077632,14035
2019-01-29,5089496,11864
2019-01-30,5100842,11346
2019-01-31,5113684,12842
2019-02-01,5126753,13069
2019-02-02,5141142,14389
2019-02-03,5157936,16794
2019-02-04,5173038,15102
2019-02-05,5187219,14181
2019-02-06,5201968,14749
2019-02-07,5215051,13083
2019-02-08,5228410,13359
2019-02-09,5242886,14476
2019-02-10,5259259,16373
2019-02-11,5274978,15719
2019-02-12,5285709,10731
2019-02-13,5297591,11882
2019-02-14,5309936,12345
2019-02-15,5319226,9290
2019-02-16,5331173,11947
2019-02-17,5345553,14380
2019-02-18,5358149,12596
2019-02-19,5368833,10684
2019-02-20,5380659,11826
2019-02-21,5390139,9480
2019-02-22,5400426,10287
2019-02-24,5428330,27904
2019-02-25,5440589,12259
2019-02-26,5450571,9982
2019-02-27,5462707,12136
2019-03-02,5499704,36997
2019-03-03,5514399,14695
2019-03-04,5527096,12697
2019-03-05,5540292,13196
2019-03-06,5550246,9954
2019-03-07,5563487,13241
2019-03-08,5575449,11962
2019-03-09,5587716,12267
2019-03-10,5601882,14166
2019-03-11,5614460,12578
2019-03-12,5624891,10431
2019-03-13,5634797,9906
2019-03-14,5645116,10319
2019-03-15,5655621,10505
2019-03-16,5667617,11996
2019-03-17,5681167,13550
2019-03-18,5693440,12273
2019-03-19,5704760,11320
2019-03-20,5715269,10509
2019-03-21,5725676,10407
2019-03-22,5737907,12231
2019-03-23,5749658,11751
2019-03-24,5763347,13689
2019-03-25,5775647,12300
2019-03-26,5787581,11934
2019-03-27,5799190,11609
2019-03-28,5810513,11323
2019-03-29,5822813,12300
2019-03-30,5837536,14723
2019-03-31,5850560,13024
2019-04-01,5861540,10980
2019-04-02,5874281,12741
2019-04-03,5884367,10086
2019-04-04,5898363,13996
2019-04-05,5937609,39246
2019-04-06,5967293,29684
2019-04-07,5993372,26079
2019-04-08,6013739,20367
2019-04-09,6032282,18543
2019-04-10,6050715,18433
2019-04-11,6069333,18618
2019-04-13,6120705,51372
2019-04-15,6179797,59092
2019-04-17,6213095,33298
2019-04-19,6249334,36239
2019-04-23,6323063,73729
2019-04-26,6372394,49331
2019-04-27,6391570,19176
2019-04-28,6409060,17490
2019-04-29,6427199,18139
2019-04-30,6442873,15674
2019-05-01,6459956,17083
2019-05-02,6479851,19895
2019-05-03,6496900,17049
2019-05-04,6515520,18620
2019-05-05,6543909,28389
2019-05-06,6565195,21286
2019-05-07,6576349,11154
2019-05-08,6591341,14992
2019-05-09,6618643,27302
2019-05-10,6621443,2800
2019-05-11,6639740,18297
2019-05-12,6659875,20135
2019-05-13,6680009,20134
2019-05-15,6726671,46662
2019-05-19,6802413,75742
2019-05-20,6819003,16590
2019-05-23,6860176,41173
2019-05-26,6908998,48822
2019-05-29,6968359,59361
2019-06-01,7026535,58176
2019-06-04,7083816,57281
2019-06-07,7129515,45699
2019-06-10,7186413,56898
2019-06-13,7234164,47751
2019-06-16,7289300,55136
2019-06-18,7322953,33653
2019-06-20,7354991,32038
2019-06-21,7371752,16761
2019-06-22,7390442,18690
2019-06-23,7410109,19667
2019-06-24,7428836,18727
2019-06-25,7445449,16613
2019-06-26,7461199,15750
2019-06-27,7477046,15847
2019-06-28,7492939,15893
2019-06-29,7510222,17283
2019-06-30,7528173,17951
2019-07-01,7545471,17298
2019-07-02,7561235,15764
2019-07-03,7577432,16197
2019-07-04,7593557,16125
2019-07-05,7610288,16731
2019-07-06,7628111,17823
2019-07-07,7647016,18905
2019-07-08,7665197,18181
2019-07-09,7681254,16057
2019-07-10,7697054,15800
2019-07-11,7713904,16850
2019-07-12,7729790,15886
2019-07-13,7746505,16715
2019-07-14,7764686,18181
2019-07-15,7782148,17462
2019-07-16,7797169,15021
2019-07-17,7812237,15068
2019-07-18,7827421,15184
2019-07-19,7841895,14474
2019-07-22,7891197,49302
2019-07-23,7905522,14325
2019-07-24,7919024,13502
2019-07-25,7932209,13185
2019-07-26,7947412,15203
2019-07-27,7963453,16041
2019-07-28,7981308,17855
2019-07-29,7998895,17587
2019-07-30,8014579,15684
2019-07-31,8029750,15171
2019-08-01,8044000,14250
2019-08-02,8058930,14930
2019-08-03,8074934,16004
2019-08-04,8092725,17791
2019-08-05,8109387,16662
2019-08-06,8124025,14638
2019-08-07,8139762,15737
2019-08-08,8153027,13265
2019-08-09,8167862,14835
2019-08-10,8184215,16353
2019-08-11,8202509,18294
2019-08-13,8235963,33454
2019-08-14,8251080,15117
2019-08-15,8265792,14712
2019-08-16,8281206,15414
2019-08-17,8297130,15924
2019-08-18,8314893,17763
2019-08-19,8332662,17769
2019-08-20,8347222,14560
2019-08-21,8361629,14407
2019-08-22,8376549,14920
2019-08-23,8390741,14192
2019-08-24,8406334,15593
2019-08-25,8424245,17911
2019-08-26,8442401,18156
2019-08-27,8457065,14664
2019-08-28,8471207,14142
2019-08-29,8485137,13930
2019-08-30,8499387,14250
2019-08-31,8514294,14907
2019-09-01,8531987,17693
2019-09-02,8549852,17865
2019-09-03,8564146,14294
2019-09-04,8577354,13208
2019-09-05,8590423,13069
2019-09-06,8603731,13308
2019-09-07,8617970,14239
2019-09-08,8635084,17114
2019-09-09,8652122,17038
2019-09-10,8664782,12660
2019-09-11,8677188,12406
2019-09-12,8690258,13070
2019-09-13,8702929,12671
2019-09-14,8716367,13438
2019-09-15,8732701,16334
2019-09-16,8748938,16237
2019-09-17,8761531,12593
2019-09-18,8774118,12587
2019-09-19,8786743,12625
2019-09-20,8799287,12544
2019-09-21,8812863,13576
2019-09-22,8829185,16322
2019-09-23,8845276,16091
2019-09-25,8869320,24044
2019-09-26,8880791,11471
2019-09-27,8881139,348
2019-09-29,8905961,24822
2019-10-01,8937319,31358
2019-10-02,8949113,11794
2019-10-03,8960004,10891
2019-10-04,8971067,11063
2019-10-05,8982155,11088
2019-10-06,8994972,12817
2019-10-07,9010628,15656
2019-10-08,9025902,15274
2019-10-09,9038098,12196
2019-10-10,9051059,12961
2019-10-11,9063546,12487
2019-10-14,9123034,59488
2019-10-15,9135490,12456
2019-10-16,9135490,0
2019-10-17,9148074,12584
2019-10-18,9160834,12760
2019-10-19,9174216,13382
2019-10-20,9188687,14471
2019-10-21,9205704,17017
2019-10-22,9221740,16036
2019-10-23,9235212,13472
2019-10-24,9248377,13165
2019-10-25,9274163,25786
2019-10-26,9274163,0
2019-10-27,9287924,13761
2019-10-28,9302646,14722
2019-10-29,9317260,14614
2019-10-30,9329475,12215
2019-10-31,9341302,11827
2019-11-01,9352585,11283
2019-11-02,9364263,11678
2019-11-03,9377552,13289
2019-11-04,9393051,15499
2019-11-05,9407638,14587
2019-11-06,9418900,11262
2019-11-07,9429481,10581
2019-11-08,9440709,11228
2019-11-09,9452208,11499
2019-11-10,9465132,12924
2019-11-11,9480607,15475
2019-11-12,9495082,14475
2019-11-13,9505899,10817
2019-11-14,9516918,11019
2019-11-15,9528580,11662
2019-11-17,9553168,24588
2019-11-18,9567585,14417
2019-11-19,9581921,14336
2019-11-20,9593223,11302
2019-11-21,9604061,10838
2019-11-22,9615692,11631
2019-11-23,9626741,11049
2019-11-24,9639502,12761
2019-11-25,9654392,14890
2019-11-26,9668871,14479
2019-11-27,9680159,11288
2019-11-28,9691457,11298
2019-11-29,9703171,11714
2019-11-30,9715828,12657
2019-12-01,9728584,12756
2019-12-03,9770202,41618
2019-12-04,9770202,0
2019-12-07,9809352,39150
2019-12-08,9827539,18187
2019-12-09,9845197,17658
2019-12-10,9860787,15590
2019-12-12,9887145,26358
2019-12-13,9899759,12614
2019-12-15,9926055,26296
2019-12-16,9941576,15521
2019-12-17,9956501,14925
2019-12-18,9969528,13027
2019-12-19,9982756,13228
2019-12-20,9995587,12831
2019-12-21,10006097,10510
2019-12-22,10017361,11264
2019-12-27,10089125,71764
2019-12-28,10089125,0
2019-12-29,10101578,12453
2019-12-30,10113080,11502
2019-12-31,10124112,11032
2020-01-01,10135242,11130
2020-01-02,10145519,10277
2020-01-03,10154764,9245
2020-01-04,10164577,9813
2020-01-05,10175332,10755
2020-01-06,10186079,10747
2020-01-07,10196308,10229
2020-01-08,10205735,9427
2020-01-09,10215171,9436
2020-01-10,10224110,8939
2020-01-11,10233653,9543
2020-01-12,10244003,10350
2020-01-13,10255691,11688
2020-01-14,10267429,11738
2020-01-15,10276873,9444
2020-01-16,10285959,9086
2020-01-17,10295333,9374
2020-01-18,10305146,9813
2020-01-19,10319151,14005
2020-01-20,10332214,13063
2020-01-21,10344166,11952
2020-01-22,10353791,9625
2020-01-23,10363372,9581
2020-01-24,10373101,9729
2020-01-25,10382865,9764
2020-01-26,10394554,11689
2020-01-27,10408989,14435
2020-01-28,10422718,13729
2020-01-30,10444632,21914
2020-01-31,10455767,11135
2020-02-01,10467043,11276
2020-02-03,10492709,25666
2020-02-04,10506140,13431
2020-02-05,10517311,11171
2020-02-06,10527923,10612
