date,followerstolistenersratio,followerstolistenersratiodifference
2018-04-04,100.88,0
2018-04-05,102.30,1.4200000000000017
2018-04-06,102.54,0.2400000000000091
2018-04-07,103.04,0.5
2018-04-08,103.48,0.4399999999999977
2018-04-09,103.89,0.4099999999999966
2018-04-10,104.27,0.37999999999999545
2018-04-11,102.19,-2.0799999999999983
2018-04-12,102.57,0.37999999999999545
2018-04-13,102.95,0.38000000000000966
2018-04-14,103.34,0.39000000000000057
2018-04-15,103.77,0.4299999999999926
2018-04-16,104.26,0.4900000000000091
2018-04-17,104.63,0.36999999999999034
2018-04-18,104.99,0.35999999999999943
2018-04-19,105.34,0.3500000000000085
2018-04-20,105.70,0.35999999999999943
2018-04-21,105.35,-0.3500000000000085
2018-04-22,105.78,0.4300000000000068
2018-04-23,106.16,0.37999999999999545
2018-04-24,106.51,0.3500000000000085
2018-04-25,106.85,0.3399999999999892
2018-04-26,107.48,0.6300000000000097
2018-04-27,107.82,0.3399999999999892
2018-04-28,108.21,0.39000000000000057
2018-04-29,108.59,0.38000000000000966
2018-04-30,108.93,0.3400000000000034
2018-05-02,109.79,0.8599999999999994
2018-05-03,110.07,0.2799999999999869
2018-05-04,111.16,1.0900000000000034
2018-05-05,111.50,0.3400000000000034
2018-05-06,111.86,0.35999999999999943
2018-05-07,112.17,0.3100000000000023
2018-05-08,114.16,1.9899999999999949
2018-05-09,114.47,0.3100000000000023
2018-05-10,114.69,0.21999999999999886
2018-05-11,114.99,0.29999999999999716
2018-05-12,115.34,0.3500000000000085
2018-05-13,116.97,1.6299999999999955
2018-05-14,117.25,0.28000000000000114
2018-05-15,117.64,0.39000000000000057
2018-05-17,118.39,0.75
2018-05-18,120.18,1.7900000000000063
2018-05-19,121.23,1.0499999999999972
2018-05-20,121.94,0.7099999999999937
2018-05-21,122.43,0.4900000000000091
2018-05-23,120.18,-2.25
2018-05-24,120.58,0.3999999999999915
2018-05-25,121.09,0.5100000000000051
2018-05-26,121.52,0.4299999999999926
2018-05-27,119.47,-2.049999999999997
2018-05-28,119.86,0.39000000000000057
2018-05-29,120.26,0.4000000000000057
2018-05-30,120.74,0.47999999999998977
2018-05-31,121.09,0.3500000000000085
2018-06-01,120.46,-0.6300000000000097
2018-06-02,120.93,0.4700000000000131
2018-06-03,121.45,0.519999999999996
2018-06-04,122.01,0.5600000000000023
2018-06-06,121.79,-0.21999999999999886
2018-06-07,122.08,0.28999999999999204
2018-06-08,122.54,0.46000000000000796
2018-06-09,123.11,0.5699999999999932
2018-06-10,123.57,0.45999999999999375
2018-06-11,123.57,0
2018-06-12,123.88,0.3100000000000023
2018-06-13,124.41,0.5300000000000011
2018-06-15,124.91,0.5
2018-06-16,127.37,2.460000000000008
2018-06-17,128.33,0.960000000000008
2018-06-18,129.10,0.7699999999999818
2018-06-20,100.72,-28.379999999999995
2018-06-21,101.57,0.8499999999999943
2018-06-23,102.20,0.6300000000000097
2018-06-25,81.87,-20.33
2018-06-26,82.43,0.5600000000000023
2018-06-27,82.77,0.3399999999999892
2018-06-29,72.12,-10.649999999999991
2018-07-01,72.85,0.7299999999999898
2018-07-02,72.78,-0.06999999999999318
2018-07-03,68.04,-4.739999999999995
2018-07-04,67.84,-0.20000000000000284
2018-07-05,68.60,0.7599999999999909
2018-07-06,68.86,0.2600000000000051
2018-07-07,69.23,0.37000000000000455
2018-07-08,63.20,-6.030000000000001
2018-07-09,63.27,0.07000000000000028
2018-07-10,63.49,0.21999999999999886
2018-07-12,64.11,0.6199999999999974
2018-07-19,59.06,-5.049999999999997
2018-07-20,59.22,0.1599999999999966
2018-07-21,59.56,0.3400000000000034
2018-07-24,61.75,2.1899999999999977
2018-07-25,61.91,0.1599999999999966
2018-07-27,63.05,1.1400000000000006
2018-07-28,63.40,0.3500000000000014
2018-07-29,63.68,0.28000000000000114
2018-07-30,63.88,0.20000000000000284
2018-07-31,64.08,0.19999999999999574
2018-08-01,64.66,0.5799999999999983
2018-08-02,64.95,0.29000000000000625
2018-08-03,65.19,0.23999999999999488
2018-08-04,65.45,0.2600000000000051
2018-08-05,65.72,0.269999999999996
2018-08-06,65.93,0.21000000000000796
2018-08-07,66.46,0.5299999999999869
2018-08-08,66.66,0.20000000000000284
2018-08-09,66.87,0.21000000000000796
2018-08-10,67.36,0.4899999999999949
2018-08-11,67.62,0.2600000000000051
2018-08-12,67.89,0.269999999999996
2018-08-13,68.11,0.21999999999999886
2018-08-16,69.01,0.9000000000000057
2018-08-17,69.26,0.25
2018-08-20,70.33,1.0699999999999932
2018-08-24,71.64,1.3100000000000023
2018-08-29,72.75,1.1099999999999994
2018-08-30,72.89,0.14000000000000057
2018-09-06,74.57,1.6799999999999926
2018-09-08,75.61,1.0400000000000063
2018-09-09,75.99,0.37999999999999545
2018-09-10,76.20,0.21000000000000796
2018-09-11,76.88,0.6799999999999926
2018-09-12,77.08,0.20000000000000284
2018-09-13,77.21,0.12999999999999545
2018-09-14,77.44,0.23000000000000398
2018-09-15,77.68,0.2400000000000091
2018-09-16,77.93,0.25
2018-09-17,78.84,0.9099999999999966
2018-09-18,78.99,0.14999999999999147
2018-09-19,79.21,0.21999999999999886
2018-09-20,79.39,0.18000000000000682
2018-09-21,80.75,1.3599999999999994
2018-09-22,80.98,0.23000000000000398
2018-09-23,81.24,0.2599999999999909
2018-09-24,81.45,0.21000000000000796
2018-09-25,84.04,2.5900000000000034
2018-09-26,84.22,0.1799999999999926
2018-09-27,84.43,0.21000000000000796
2018-09-28,84.64,0.20999999999999375
2018-09-29,84.91,0.269999999999996
